URL,name,price,ingredients
"https://www.rossmann.pl/Produkt/Wygladzanie-wlosow/LOreal-Paris-Elseve-Glycolic-Gloss-kuracja-laminujaca-200-ml,2076195,19837","L'ORÉAL PARIS ELSEVE, Glycolic Gloss , kuracja laminująca, 200 ml",49.99,Aqua / Water • Cetearyl Alcohol • Cocamidopropyl Betaine • Behentrimonium Chloride • Propylene Glycol • Amodimethicone • Ci 17200 / Red 33 • Ci 19140 / Yellow 5 • Cocos Nucifera Oil / Coconut Oil • Sodium Chloride • Hydroxypropyl Guar • Hydroxycitronellal • Phenoxyethanol • Ppg-1 Trideceth-6 • Ethanolamine • Trideceth-6 • Polyquaternium-37 • Limonene • Linalool • Isopropyl Alcohol • Propylene Glycol Dicaprylate/dicaprate • Caprylyl Glycol • Acrylates/stearyl Methacrylate Copolymer • Sorbitan Oleate • Cetrimonium Chloride • Citric Acid • Edta • Hexyl Cinnamal • Glycolic Acid • Parfum / Fragrance (f.i.l. Z70038579/2).
"https://www.rossmann.pl/Produkt/Odzywki-do-wlosow/Hair-In-Balance-by-OnlyBio-odzywka-do-wlosow-wygladzajaca-chroniaca-kolor-200-ml,2098195,13183","HAIR IN BALANCE BY ONLYBIO, odżywka do włosów, wygładzająca, chroniąca kolor, 200 ml",24.99,"Aqua, Cetearyl Alcohol, Propanediol, Behentrimonium Chloride, Glycerin, Cetyl Esters, Dimethicone, Cetrimonium Chloride, Euterpe Oleracea (Acai) Fruit Extract, Hydrogenated Castor Oil / Sebacic Acid Copolymer, Ascorbyl Tetraisopalmitate, Tocopherol, Niacinamide, Sr-Spider Polypeptide-1, Hexapeptide-11, Amodimethicone, Dicetyldimonium Chloride, Coco-Caprylate/Caprate, Hydroxypropyl Guar Hydroxypropyltrimonium Chloride, 1,2-Hexanediol, Sodium Hydroxide, Sodium Chloride, Citric Acid, Isopropyl Alcohol, Propylene Glycol, Caprylyl Glycol, Salicylic Acid, Benzyl Alcohol, Potassium Sorbate, Parfum, Hydroxycitronellal."
"https://www.rossmann.pl/Produkt/Odzywki-do-wlosow/Hair-In-Balance-by-OnlyBio-odzywka-do-wlosow-bez-splukiwania-150-ml,390252,13183","HAIR IN BALANCE BY ONLYBIO, odżywka do włosów, bez spłukiwania, 150 ml",22.99,"Aqua, Cyclopentasiloxane, Cetearyl Alcohol, Bis-(Isostearoyl/Oleoyl Isopropyl) Dimonium Methosulfate, Dicaprylyl Carbonate, Distearoylethyl Dimonium Chloride, Brassica Oleracea Italica(Broccoli) Seed Oil, Robinia Pseudoacacia Flower Extract, Butyrospermum Parkii (Shea) Butter, Persea Gratissima (Avocado) Oil, Cetrimonium Chloride, Benzyl Alcohol, Benzoic Acid, Dehydroacetic Acid, Citric Acid, Sodium Benzoate, Potassium Sorbate, Tocopherol, Parfum, Citral, Citronellol, Limonene, Linalool."
"https://www.rossmann.pl/Produkt/Odzywki-do-wlosow/Anwen-Emolientowa-Morela-odzywka-do-wlosow-bez-splukiwania-150-ml,394254,13183","ANWEN, Emolientowa Morela , odżywka do włosów, bez spłukiwania, 150 ml",24.99,"Aqua, Cetearyl Alcohol, Coco-Caprylate, Pyrus Malus Seed Oil, Triticum Vulgare Germ Oil, Papaver Somniferum Seed Oil, Behentrimonium Methosulfate, Inulin, Octyldodecanol, Hydrogenated Coco-Glycerides, Helianthus Annuus Seed Extract, Hydrogenated Castor Oil/Sebacic Acid Copolymer, Acacia Senegal Gum Extract, Linum Ussitatissimum Seed Extract, Althea Officinalis Root Extract, Prunus Amygdalus Dulcis Fruit Extract, Xanthan Gum, Hydroxypropyltrimonium Hydrolyzed Corn Starch, Glycerin, Tocopheryl Acetate, Lactic Acid, Sodium Benzoate, Potassium Sorbate, Phenoxyethanol, Benzoic Acid, Dehydroacetic Acid, Parfum."
"https://www.rossmann.pl/Produkt/Minikosmetyki/Neboa-Glossy-Hair-odzywka-do-wlosow-wygladzajaca-i-nawilzajaca-100-ml,2105400,19247","NEBOA, Glossy Hair , odżywka do włosów, wygładzająca i nawilżająca, 100 ml",9.99,"Aqua, Cetearyl Alcohol, C12-15 Alkyl Benzoate, Dicaprylyl Ether, Behentrimonium Chloride, Glycine Soja Oil, Prunus Amygdalus Dulcis Oil, Hydrolyzed Pea Protein, Hydrolyzed Rice Protein, Hydrolyzed Soy Protein, Salvia Hispanica Seed Extract, Helianthus Annuus (Sunflower) Seed Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Cetrimonium Chloride, Isopropyl Alcohol, Bis-(Isostearoyl/Oleoyl Isopropyl) Dimonium Methosulfate, Tocopherol, Glyceryl Stearate SE, Amodimethicone, Isopropyl Palmitate, Hydrogenated Farnesene, Tocopheryl Acetate, Quaternium-80, Trideceth-12, Dipropylene Glycol, Silicone Quaternium-18, Trideceth-6 , Polysilicone-29, Trideceth-12, Citric Acid, Benzyl Alcohol, Dehydroacetic Acid, Parfum, Phenoxyethanol."
"https://www.rossmann.pl/Produkt/Serum-i-wcierki-do-skory-glowy/Joanna-Konopie-odzywka-wcierka-do-wlosow-nawilzajaco-wzmacniajaca-100-ml,321213,13212","JOANNA, Konopie , odżywka-wcierka do włosów, nawilżająco-wzmacniająca, 100 ml",9.99,"Aqua, Hydroxypropyltrimonium Honey, Aloe Barbadensis Leaf Juice, Hexapeptide-11, Cannabis Sativa Seed Extract, Saccharum Officinarum Extract, Citrus Limon Fruit Extract, Pyrus Malus Fruit Extract, Camellia Sinensis Leaf Extract, Niacinamide, Sodium Hyaluronate, Trehalose, Sodium PCA, Urea, Polyquaternium-51, Allantoin, Panthenol, Glycerin, Betaine, Hexylene Glycol, Laureth-10, Leuconostoc/Radish Root Ferment Filtrate, Parfum, Citral, Citronellol, Citrus Aurantium Peel Oil, Geraniol, Hexyl Cinnamal, Limonene, Linalool, Linalyl Acetate, Sodium Benzoate, Potassium Sorbate, Citric Acid, Sorbic Acid, Triethanolamine, Phenoxyethanol, Benzoic Acid."
"https://www.rossmann.pl/Produkt/Odzywki-do-wlosow/Hair-In-Balance-by-OnlyBio-odzywka-do-wlosow-proteinowa-200-ml,354498,13183","HAIR IN BALANCE BY ONLYBIO, odżywka do włosów, proteinowa, 200 ml",22.99,"Aqua, Cetearyl Alcohol, Coco-Caprylate/Caprate, Hydrolyzed Wheat Protein, Behentrimonium Chloride, Wheat Amino Acids, Soy Amino Acids, Arginine HCI, Threonine, Serine, Tocopherol, Cetrimonium Chloride, Citric Acid, Benzyl Alcohol, Benzoic Acid, Guar Hydroxypropyltrimonium Chloride, Sodium Benzoate, Potassium Sorbate, Dehydroacetic Acid, Parfum."
"https://www.rossmann.pl/Produkt/Odzywki-do-wlosow/Isana-Professional-Plex-odzywka-do-wlosow-250-ml,2079185,13183","ISANA PROFESSIONAL, Plex , odżywka do włosów, 250 ml",15.99,"Aqua, Glycerin, Cetearyl Alcohol, Behentrimonium Chloride, Isopropyl Palmitate, Panthenol, Oryza Sativa Seed Protein, Phytic Acid, Oryza Sativa Extract, Hydrolyzed Adansonia Digitata Seed Extract, Cocos Nucifera Oil, Parfum, Calcium Gluconate, Isopropyl Alcohol, Hydrolyzed Wheat Protein, Hydrolyzed Soy Protein, Rice Amino Acids, Proline, Sodium Benzoate, Potassium Sorbate, Citric Acid, Gluconolactone."
"https://www.rossmann.pl/Produkt/Odzywki-do-wlosow/Neboa-Detox-Hydration-odzywka-do-wlosow-naturalna-oczyszczajaca-wlosy-przetluszczajace-sie-300-,368470,13183","NEBOA, Detox & Hydration , odżywka do włosów, naturalna, oczyszczająca, włosy przetłuszczające się, 300 ml",29.99,"Aqua, Cetearyl Alcohol, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Brassicamidopropyl Dimethylamine, Panthenol, Kaolin, Caffeine, Inulin, Glycyrrhiza Glabra Root Extract, Helianthus Annuus Seed Oil, Tocopherol, Aspartic Acid, Dehydroacetic Acid, Benzyl Alcohol, Parfum."
"https://www.rossmann.pl/Produkt/Odzywki-do-wlosow/Hair-In-Balance-by-OnlyBio-EWedel-odzywka-do-wlosow-wygladzajaca-Ptasie-Mleczko-Mascarpone-z-Ma,2109103,13183","HAIR IN BALANCE BY ONLYBIO, & E.Wedel , odżywka do włosów, wygładzająca, Ptasie Mleczko Mascarpone z Malinami, 200 ml",15.49,"Aqua, Cetearyl Alcohol, Dimethicone, Behentrimonium Chloride, C13-15 Alkane, Cetyl Esters, Cetrimonium Chloride, Rubus Chamaemorus (Cloudberry) Fruit Extract, Rubus Idaeus (Raspberry) Seed Oil, Helianthus Annuus (Sunflower) Seed Oil, Tocopherol, Guar Hydroxypropyltrimonium Chloride, Citric Acid, Isopropyl Alcohol, Benzyl Alcohol, Benzoic Acid, Dehydroacetic Acid, Parfum, Vanillin."
